reading_id,worker_id,reading_no,datetime,shift_hours,break_gap_min,x,y,z,eda,hr,temp,fatigue_score,blink_rate_pm,activity_score,accel_impact_g,body_angle_deg,motion_detected,helmet,vest,zone_authorized,hr_prev,temp_prev,eda_prev,temp_slope,hr_slope,eda_slope,heat_stress_risk_percent,fatigue_risk_percent,fall_risk_percent,collapse_risk_percent,ppe_risk_percent,predicted_anomaly,time_to_anomaly_min,confidence_percent,actual_anomaly_label,hour,day,month,movement_magnitude,ppe_compliance_score,overall_risk_score,fatigue_level,worker_id_encoded,predicted_anomaly_encoded,actual_anomaly_label_encoded
89,W002,39,2024-01-01 17:45:00,9.75,292,-65,-48,19,6.553064,73.68,36.8,3.55,17,76,0.08,84,1,0,1,1,75.15,36.8,6.535545,0,-1.47,0.017519,43,79,17,67,90,PPE_Violation,18,90,PPE_Violation,17,1,1,83.00602388,2,59.2,Low,1,1,3
90,W002,40,2024-01-01 18:00:00,10,300,-55,-40,-9,6.535185,77.04,36.82,3.37,16,76,0.1,88,1,0,1,1,73.68,36.8,6.553064,0.02,3.36,-0.017879,83,78,16,79,92,PPE_Violation,14,92,PPE_Violation,18,1,1,68.60029154,2,69.6,Low,1,1,3
91,W002,41,2024-01-01 18:15:00,10.25,307,-10,-46,26,6.524893,74.32,36.8,3.93,16,76,0.23,87,1,0,1,1,77.04,36.82,6.535185,-0.02,-2.72,-0.010292,46,84,19,71,94,PPE_Violation,10,94,PPE_Violation,18,1,1,53.77731864,2,62.8,Low,1,1,3
92,W002,42,2024-01-01 18:30:00,10.5,315,-41,-71,0,6.549901,72.91,36.79,3.78,15,74,0.23,86,1,0,1,1,74.32,36.8,6.524893,-0.01,-1.41,0.025008,47,85,18,72,97,PPE_Violation,5,97,PPE_Violation,18,1,1,81.98780397,2,63.8,Low,1,1,3
93,W002,43,2024-01-01 18:45:00,10.75,322,-25,-68,19,6.545815,75.06,36.76,3.59,13,75,0.16,84,1,0,1,1,72.91,36.79,6.549901,-0.03,2.15,-0.004086,61,84,17,76,98,PPE_Violation,3,98,PPE_Violation,18,1,1,74.89993324,2,67.2,Low,1,1,3
94,W002,44,2024-01-01 19:00:00,11,330,-16,-57,-49,6.537167,75.54,36.8,3.65,14,75,0.39,86,1,0,1,1,75.06,36.76,6.545815,0.04,0.48,-0.008648,88,85,18,86,99,PPE_Violation,1,99,PPE_Violation,19,1,1,76.85050423,2,75.2,Low,1,1,3
95,W002,45,2024-01-01 19:15:00,11.25,337,-7,-71,-33,6.534937,75.22,36.72,3.66,15,73,0.34,87,1,0,1,1,75.54,36.8,6.537167,-0.08,-0.32,-0.00223,50,87,18,75,99,PPE_Violation,1,99,PPE_Violation,19,1,1,78.6066155,2,65.8,Low,1,1,3
96,W002,46,2024-01-01 19:30:00,11.5,345,-6,-76,39,6.555529,75.35,36.76,3.91,15,76,0.15,88,1,0,1,1,75.22,36.72,6.534937,0.04,0.13,0.020592,88,89,19,88,99,PPE_Violation,1,99,PPE_Violation,19,1,1,85.63293759,2,76.6,Low,1,1,3
97,W002,47,2024-01-01 19:45:00,11.75,352,-1,-71,47,6.558161,77.43,36.79,3.74,15,79,0.15,86,1,0,1,1,75.35,36.76,6.555529,0.03,2.08,0.002632,92,87,18,89,99,PPE_Violation,1,99,PPE_Violation,19,1,1,85.15280383,2,77,Low,1,1,3
98,W002,48,2024-01-01 20:00:00,12,360,9,-41,15,6.543596,72.74,36.77,4.15,15,81,0.13,87,1,0,1,1,77.43,36.79,6.558161,-0.02,-4.69,-0.014565,54,90,20,80,99,PPE_Violation,1,99,PPE_Violation,20,1,1,44.57577818,2,68.6,Low,1,1,3
99,W002,49,2024-01-01 20:15:00,12.25,367,-48,-65,48,6.534835,76.03,36.75,3.63,15,75,0.16,88,1,0,1,1,72.74,36.77,6.543596,-0.02,3.29,-0.008761,74,90,18,86,99,PPE_Violation,1,99,PPE_Violation,20,1,1,93.9840412,2,73.4,Low,1,1,3
100,W002,50,2024-01-01 20:30:00,12.5,375,-61,-55,13,6.536355,71.68,36.84,4.36,14,71,0.26,87,1,0,1,1,76.03,36.75,6.534835,0.09,-4.35,0.00152,99,99,21,98,99,Heat_Stress,1,99,PPE_Violation,20,1,1,83.156479,2,83.2,Low,1,0,3
101,W003,1,2024-01-01 8:15:00,0.25,7,-26,-73,-10,6.62666,79.98,36.46,2.03,19,84,0.02,87,1,1,1,1,79.33,36.47,6.643165,-0.0058,0.6489,-0.016505,4,25,10,13,6,Worker_Fatigue,0,0,Normal,8,1,1,78.13449942,3,11.6,Low,2,2,2
102,W003,2,2024-01-01 8:30:00,0.5,15,-49,-46,-6,6.638488,76.74,36.5,2.15,18,84,0.21,85,1,1,1,1,79.98,36.46,6.62666,0.04,-3.24,0.011828,38,27,10,25,9,Worker_Fatigue,0,0,Normal,8,1,1,67.47592163,3,21.8,Low,2,2,2
103,W003,3,2024-01-01 8:45:00,0.75,22,-7,-56,36,6.634781,80.63,36.42,2.22,19,86,0.3,86,1,1,1,1,76.74,36.5,6.638488,-0.08,3.89,-0.003707,26,27,11,22,10,Worker_Fatigue,0,0,Normal,8,1,1,66.94027188,3,19.2,Low,2,2,2
104,W003,4,2024-01-01 9:00:00,1,30,-51,-59,-45,6.642449,78.81,36.46,2.15,17,85,0.26,86,1,1,1,1,80.63,36.42,6.634781,0.04,-1.82,0.007668,40,28,10,27,13,Heat_Stress,108,40,Normal,9,1,1,90.03888049,3,23.6,Low,2,0,2
105,W003,5,2024-01-01 9:15:00,1.25,37,-77,-67,20,6.641829,79.61,36.48,2.42,20,79,0.13,87,1,1,1,1,78.81,36.46,6.642449,0.02,0.8,-0.00062,28,34,12,26,16,Worker_Fatigue,0,0,Normal,9,1,1,104.0096149,3,23.2,Low,2,2,2
106,W003,6,2024-01-01 9:30:00,1.5,45,5,-52,0,6.636927,80.56,36.43,2.62,17,83,0.27,87,1,1,1,1,79.61,36.48,6.641829,-0.05,0.95,-0.004902,12,35,13,23,17,Worker_Fatigue,0,0,Normal,9,1,1,52.23983155,3,20,Low,2,2,2
107,W003,7,2024-01-01 9:45:00,1.75,52,-20,-64,15,6.638676,81.26,36.48,2.29,18,83,0.11,87,1,1,1,1,80.56,36.43,6.636927,0.05,0.7,0.001749,57,33,11,36,19,Heat_Stress,77,57,Normal,9,1,1,68.70953355,3,31.2,Low,2,0,2
108,W003,8,2024-01-01 10:00:00,2,60,0,-63,-17,6.642524,79.94,36.44,2.39,17,84,0.33,87,1,1,1,0,81.26,36.48,6.638676,-0.04,-1.32,0.003848,9,35,11,22,21,Worker_Fatigue,0,0,Normal,10,1,1,65.2533524,2,19.6,Low,2,2,2
109,W003,9,2024-01-01 10:15:00,2.25,67,-79,-67,-13,6.65038,81.42,36.48,2.49,17,85,0.21,85,1,1,1,0,79.94,36.44,6.642524,0.04,1.48,0.007856,54,36,12,37,23,Heat_Stress,82,54,Normal,10,1,1,104.3982758,2,32.4,Low,2,0,2
110,W003,10,2024-01-01 10:30:00,2.5,75,-24,-61,-12,6.633251,82.52,36.44,1.97,16,81,0.33,88,1,1,1,0,81.42,36.48,6.65038,-0.04,1.1,-0.017129,17,35,9,25,26,Worker_Fatigue,0,0,Unauthorized_Access,10,1,1,66.64082833,2,22.4,Low,2,2,4
111,W003,11,2024-01-01 10:45:00,2.75,82,-31,-55,26,6.638623,79.45,36.5,2.44,15,80,0.32,85,1,1,1,0,82.52,36.44,6.633251,0.06,-3.07,0.005372,66,40,12,43,29,Heat_Stress,61,66,Unauthorized_Access,10,1,1,68.27884006,2,38,Low,2,0,4
112,W003,12,2024-01-01 11:00:00,3,90,-36,-69,-21,6.650754,80.52,36.49,2.54,17,82,0.14,86,1,1,1,0,79.45,36.5,6.638623,-0.01,1.07,0.012131,19,41,12,30,30,Worker_Fatigue,106,41,Unauthorized_Access,11,1,1,80.61017306,2,26.4,Low,2,2,4
113,W003,13,2024-01-01 11:15:00,3.25,97,-69,-72,18,6.624044,81.27,36.45,2.6,17,85,0.15,85,1,1,1,0,80.52,36.49,6.650754,-0.04,0.75,-0.02671,19,41,13,31,32,Worker_Fatigue,106,41,Unauthorized_Access,11,1,1,101.3360745,2,27.2,Low,2,2,4
114,W003,14,2024-01-01 11:30:00,3.5,105,-7,-57,-45,6.637151,79.54,36.43,2.62,17,79,0.2,87,1,1,1,0,81.27,36.45,6.624044,-0.02,-1.73,0.013107,15,45,13,32,36,Worker_Fatigue,99,45,Unauthorized_Access,11,1,1,72.95889254,2,28.2,Low,2,2,4
115,W003,15,2024-01-01 11:45:00,3.75,112,-43,-46,40,6.655227,80.28,36.47,2.68,17,81,0.24,85,1,1,1,0,79.54,36.43,6.637151,0.04,0.74,0.018076,57,45,13,45,37,Heat_Stress,77,57,Unauthorized_Access,11,1,1,74.59892761,2,39.4,Low,2,0,4
116,W003,16,2024-01-01 12:00:00,4,120,-23,-61,8,6.635981,76.84,36.44,2.82,18,81,0.15,87,1,1,1,0,80.28,36.47,6.655227,-0.03,-3.44,-0.019246,18,48,14,35,39,Worker_Fatigue,93,48,Unauthorized_Access,12,1,1,65.68104749,2,30.8,Low,2,2,4
117,W003,17,2024-01-01 12:15:00,4.25,127,-44,-56,0,6.639624,80.38,36.44,2.77,18,84,0.08,87,1,1,1,0,76.84,36.44,6.635981,0,3.54,0.003643,40,47,13,41,40,Worker_Fatigue,95,47,Unauthorized_Access,12,1,1,71.21797526,2,36.2,Low,2,2,4
118,W003,18,2024-01-01 12:30:00,4.5,135,-72,-44,-30,6.659942,77.72,36.51,2.61,18,82,0.17,86,1,1,1,0,80.38,36.44,6.639624,0.07,-2.66,0.020318,83,47,13,55,43,Heat_Stress,30,83,Unauthorized_Access,12,1,1,89.55445271,2,48.2,Low,2,0,4
119,W003,19,2024-01-01 12:45:00,4.75,142,-31,-44,15,6.637299,77.13,36.44,2.72,16,79,0.15,87,1,1,1,0,77.72,36.51,6.659942,-0.07,-0.59,-0.022643,21,51,13,38,46,Worker_Fatigue,88,51,Unauthorized_Access,12,1,1,55.87486018,2,33.8,Low,2,2,4
120,W003,20,2024-01-01 13:00:00,5,150,-29,-41,-32,6.655442,75.34,36.48,2.56,17,84,0.14,86,1,1,1,0,77.13,36.44,6.637299,0.04,-1.79,0.018143,58,48,12,49,47,Heat_Stress,75,58,Unauthorized_Access,13,1,1,59.54829972,2,42.8,Low,2,0,4
121,W003,21,2024-01-01 13:15:00,5.25,157,-8,-42,-26,6.634015,77.35,36.48,2.86,16,83,0.31,85,1,1,1,0,75.34,36.48,6.655442,0,2.01,-0.021427,35,52,14,44,49,Worker_Fatigue,86,52,Unauthorized_Access,13,1,1,50.03998401,2,38.8,Low,2,2,4
122,W003,22,2024-01-01 13:30:00,5.5,165,-68,-46,28,6.655296,77.15,36.46,2.91,17,85,0.22,86,1,1,1,0,77.35,36.48,6.634015,-0.02,-0.2,0.021281,24,52,14,41,51,Worker_Fatigue,86,52,Unauthorized_Access,13,1,1,86.74099377,2,36.4,Low,2,2,4
123,W003,23,2024-01-01 13:45:00,5.75,172,-39,-55,1,6.636122,77.19,36.44,2.87,17,80,0.13,85,1,1,1,0,77.15,36.46,6.655296,-0.02,0.04,-0.019174,26,55,14,44,54,Worker_Fatigue,81,55,Unauthorized_Access,13,1,1,67.43144667,2,38.6,Low,2,2,4
124,W003,24,2024-01-01 14:00:00,6,180,-8,-67,-41,6.643983,79.32,36.49,2.94,16,82,0.22,87,1,1,1,0,77.19,36.44,6.636122,0.05,2.13,0.007861,84,56,14,62,56,Heat_Stress,28,84,Unauthorized_Access,14,1,1,78.95568377,2,54.4,Low,2,0,4
125,W003,25,2024-01-01 14:15:00,6.25,187,-2,-43,-1,6.632799,76.96,36.46,3.26,16,80,0.18,87,1,1,1,0,79.32,36.49,6.643983,-0.03,-2.36,-0.011184,28,61,16,48,59,Worker_Fatigue,70,61,Unauthorized_Access,14,1,1,43.05810028,2,42.4,Low,2,2,4
126,W003,26,2024-01-01 14:30:00,6.5,195,-77,-74,46,6.643269,82.11,36.48,2.78,16,77,0.15,86,1,1,1,0,76.96,36.46,6.632799,0.02,5.15,0.01047,78,59,13,62,62,Heat_Stress,39,78,Unauthorized_Access,14,1,1,116.2798349,2,54.8,Low,2,0,4
127,W003,27,2024-01-01 14:45:00,6.75,202,-60,-55,15,6.625141,80.35,36.47,2.95,16,73,0.22,86,1,1,1,0,82.11,36.48,6.643269,-0.01,-1.76,-0.018128,30,64,14,50,65,PPE_Violation,63,65,Unauthorized_Access,14,1,1,82.76472679,2,44.6,Low,2,1,4
128,W003,28,2024-01-01 15:00:00,7,210,-34,-40,31,6.644652,78.9,36.51,3.05,16,78,0.17,87,1,1,1,0,80.35,36.47,6.625141,0.04,-1.45,0.019511,67,63,15,62,66,Heat_Stress,59,67,Unauthorized_Access,15,1,1,60.9672043,2,54.6,Low,2,0,4
129,W003,29,2024-01-01 15:15:00,7.25,217,-62,-65,-8,6.64816,76.26,36.49,3.62,16,77,0.19,87,1,1,1,0,78.9,36.51,6.644652,-0.02,-2.64,0.003508,32,69,18,55,68,Worker_Fatigue,55,69,Unauthorized_Access,15,1,1,90.18314698,2,48.4,Low,2,2,4
130,W003,30,2024-01-01 15:30:00,7.5,225,-78,-70,47,6.6374,80.41,36.49,2.68,16,77,0.08,87,1,1,1,0,76.26,36.49,6.64816,0,4.15,-0.01076,58,62,13,59,70,PPE_Violation,54,70,Unauthorized_Access,15,1,1,114.8607853,2,52.4,Low,2,1,4
131,W003,31,2024-01-01 15:45:00,7.75,232,-37,-64,-10,6.623563,77.34,36.46,3.65,16,76,0.29,86,1,1,1,0,80.41,36.49,6.6374,-0.03,-3.07,-0.013837,34,72,18,58,73,PPE_Violation,48,73,Unauthorized_Access,15,1,1,74.59892761,2,51,Low,2,1,4
132,W003,32,2024-01-01 16:00:00,8,240,-76,-43,-3,6.636474,82.27,36.46,3.49,17,77,0.25,86,1,1,1,0,77.34,36.46,6.623563,0,4.93,0.012911,65,71,17,67,74,PPE_Violation,46,74,Unauthorized_Access,16,1,1,87.37276464,2,58.8,Low,2,1,4
133,W003,33,2024-01-01 16:15:00,8.25,247,-13,-59,18,6.64593,82.15,36.5,3.48,16,77,0.1,87,1,1,1,0,82.27,36.46,6.636474,0.04,-0.12,0.009456,73,72,17,70,76,PPE_Violation,43,76,Unauthorized_Access,16,1,1,63.03967005,2,61.6,Low,2,1,4
134,W003,34,2024-01-01 16:30:00,8.5,255,-64,-76,16,6.629694,78.6,36.47,3.17,15,80,0.12,87,1,1,1,0,82.15,36.5,6.64593,-0.03,-3.55,-0.016236,38,69,15,59,78,PPE_Violation,39,78,Unauthorized_Access,16,1,1,100.637965,2,51.8,Low,2,1,4
135,W003,35,2024-01-01 16:45:00,8.75,262,-10,-54,3,6.649236,77.77,36.49,3.66,15,75,0.22,86,1,1,1,0,78.6,36.47,6.629694,0.02,-0.83,0.019542,57,76,18,68,81,PPE_Violation,34,81,Unauthorized_Access,16,1,1,55,2,60,Low,2,1,4
136,W003,36,2024-01-01 17:00:00,9,270,-68,-66,42,6.643735,78.04,36.49,3.49,16,80,0.24,88,1,1,1,0,77.77,36.49,6.649236,0,0.27,-0.005501,42,73,17,63,82,PPE_Violation,32,82,Unauthorized_Access,17,1,1,103.6532682,2,55.4,Low,2,1,4
137,W003,37,2024-01-01 17:15:00,9.25,277,-62,-44,14,6.625788,78.14,36.43,3.09,15,78,0.16,86,1,1,1,0,78.04,36.49,6.643735,-0.06,0.1,-0.017947,42,72,15,62,85,PPE_Violation,27,85,Unauthorized_Access,17,1,1,77.30459236,2,55.2,Low,2,1,4
138,W003,38,2024-01-01 17:30:00,9.5,285,-10,-53,-32,6.641494,81.05,36.45,3.58,17,76,0.24,87,1,1,1,0,78.14,36.43,6.625788,0.02,2.91,0.015706,78,78,17,77,87,PPE_Violation,23,87,Unauthorized_Access,17,1,1,62.71363488,2,67.4,Low,2,1,4
139,W003,39,2024-01-01 17:45:00,9.75,292,-4,-50,4,6.642221,79.98,36.47,3.54,16,78,0.2,85,1,1,1,0,81.05,36.45,6.641494,0.02,-1.07,0.000727,61,78,17,72,89,PPE_Violation,19,89,Unauthorized_Access,17,1,1,50.3189825,2,63.4,Low,2,1,4
140,W003,40,2024-01-01 18:00:00,10,300,-65,-61,-49,6.64882,79.81,36.54,3.25,15,78,0.3,87,1,1,1,0,79.98,36.47,6.642221,0.07,-0.17,0.006599,99,77,16,83,91,Heat_Stress,1,99,Unauthorized_Access,18,1,1,101.7202045,2,73.2,Low,2,0,4
141,W003,41,2024-01-01 18:15:00,10.25,307,-63,-65,28,6.656045,80.99,36.44,3.56,14,77,0.26,88,1,1,1,0,79.81,36.54,6.64882,-0.1,1.18,0.007225,53,80,17,71,93,PPE_Violation,12,93,Unauthorized_Access,18,1,1,94.75230868,2,62.8,Low,2,1,4
142,W003,42,2024-01-01 18:30:00,10.5,315,-52,-44,49,6.635316,79.06,36.47,3.81,15,76,0.13,86,1,1,1,0,80.99,36.44,6.656045,0.03,-1.93,-0.020729,74,84,19,80,96,PPE_Violation,7,96,Unauthorized_Access,18,1,1,83.91066678,2,70.6,Low,2,1,4
143,W003,43,2024-01-01 18:45:00,10.75,322,-79,-55,-14,6.649056,77.7,36.4,3.79,16,73,0.33,86,1,1,1,0,79.06,36.47,6.635316,-0.07,-1.36,0.01374,48,86,18,73,99,PPE_Violation,1,99,Unauthorized_Access,18,1,1,97.27281223,2,64.8,Low,2,1,4
144,W003,44,2024-01-01 19:00:00,11,330,-19,-47,-23,6.637523,78.23,36.54,3.8,17,79,0.36,88,1,1,1,0,77.7,36.4,6.649056,0.14,0.53,-0.011533,99,84,19,89,99,Heat_Stress,1,99,Unauthorized_Access,19,1,1,55.66866264,2,78,Low,2,0,4
145,W003,45,2024-01-01 19:15:00,11.25,337,-66,-66,-6,6.654324,79.32,36.51,3.67,15,77,0.02,87,1,1,1,0,78.23,36.54,6.637523,-0.03,1.09,0.016801,57,85,18,77,99,PPE_Violation,1,99,Unauthorized_Access,19,1,1,93.53074361,2,67.2,Low,2,1,4
146,W003,46,2024-01-01 19:30:00,11.5,345,-69,-63,33,6.658299,79.17,36.46,3.97,17,73,0.3,87,1,1,1,0,79.32,36.51,6.654324,-0.05,-0.15,0.003975,51,91,19,78,99,PPE_Violation,1,99,Unauthorized_Access,19,1,1,99.09086739,2,67.6,Low,2,1,4
147,W003,47,2024-01-01 19:45:00,11.75,352,-33,-68,44,6.630632,81.73,36.41,3.95,14,72,0.16,87,1,1,1,0,79.17,36.46,6.658299,-0.05,2.56,-0.027667,68,92,19,84,99,PPE_Violation,1,99,Unauthorized_Access,19,1,1,87.45856162,2,72.4,Low,2,1,4
148,W003,48,2024-01-01 20:00:00,12,360,-40,-50,26,6.648301,78.4,36.42,3.81,12,73,0.2,88,1,1,1,0,81.73,36.41,6.630632,0.01,-3.33,0.017669,63,91,19,83,99,PPE_Violation,1,99,Unauthorized_Access,20,1,1,69.10861017,2,71,Low,2,1,4
149,W003,49,2024-01-01 20:15:00,12.25,367,-57,-43,-25,6.647118,80.04,36.43,3.85,15,75,0.12,86,1,1,1,0,78.4,36.42,6.648301,0.01,1.64,-0.001183,73,92,19,87,99,PPE_Violation,1,99,Unauthorized_Access,20,1,1,75.65051223,2,74,Low,2,1,4
150,W003,50,2024-01-01 20:30:00,12.5,375,-48,-44,-47,6.658092,81.16,36.44,3.95,14,74,0.01,87,1,1,1,0,80.04,36.43,6.647118,0.01,1.12,0.010974,71,94,19,87,99,PPE_Violation,1,99,Unauthorized_Access,20,1,1,80.30566605,2,74,Low,2,1,4
151,W004,1,2024-01-01 8:15:00,0.25,7,-25,-66,-38,6.625976,77.39,36.92,1.82,16,85,0.35,86,1,1,1,1,78.64,36.88,6.612034,0.0383,-1.2479,0.013942,35,23,9,22,6,Worker_Fatigue,0,0,Normal,8,1,1,80.15609771,3,19,Low,3,2,2
152,W004,2,2024-01-01 8:30:00,0.5,15,-16,-58,-41,6.630363,80.2,36.97,2.05,20,86,0.27,86,1,1,1,1,77.39,36.92,6.625976,0.05,2.81,0.004387,64,25,10,32,8,Heat_Stress,64,64,Normal,8,1,1,72.8079666,3,27.8,Low,3,0,2
153,W004,3,2024-01-01 8:45:00,0.75,22,-74,-59,30,6.634399,80.33,36.93,2.39,16,78,0.36,88,1,1,1,1,80.2,36.97,6.630363,-0.04,0.13,0.004036,4,33,11,18,12,Worker_Fatigue,0,0,Normal,8,1,1,99.28242543,3,15.6,Low,3,2,2
154,W004,4,2024-01-01 9:00:00,1,30,-33,-71,37,6.629749,82.07,37.1,2.4,17,81,0.42,85,1,1,1,1,80.33,36.93,6.634399,0.17,1.74,-0.00465,99,32,12,46,14,Heat_Stress,1,99,Normal,9,1,1,86.59676668,3,40.6,Low,3,0,2
155,W004,5,2024-01-01 9:15:00,1.25,37,-6,-64,27,6.650865,83.7,37.1,2.33,20,82,0.33,85,1,1,1,1,82.07,37.1,6.629749,0,1.63,0.021116,15,32,11,22,15,Worker_Fatigue,0,0,Normal,9,1,1,69.72087205,3,19,Low,3,2,2
156,W004,6,2024-01-01 9:30:00,1.5,45,-32,-73,19,6.651659,82.49,37.23,2.69,17,84,0.38,86,1,1,1,1,83.7,37.1,6.650865,0.13,-1.21,0.000794,99,35,13,49,17,Heat_Stress,1,99,Normal,9,1,1,81.9390017,3,42.6,Low,3,0,2
157,W004,7,2024-01-01 9:45:00,1.75,52,-72,-44,30,6.650686,85.37,37.31,2.41,17,79,0.51,85,1,1,1,1,82.49,37.23,6.651659,0.08,2.88,-0.000973,97,36,12,49,21,Heat_Stress,5,97,Normal,9,1,1,89.55445271,3,43,Low,3,0,2
158,W004,8,2024-01-01 10:00:00,2,60,-78,-57,2,6.662684,88.22,37.33,2.55,18,83,0.18,86,1,1,1,1,85.37,37.31,6.650686,0.02,2.85,0.011998,44,36,12,34,22,Heat_Stress,100,44,Normal,10,1,1,96.62815325,3,29.6,Low,3,0,2
159,W004,9,2024-01-01 10:15:00,2.25,67,-16,-67,-2,6.667977,89.41,37.4,2.56,16,81,0.32,87,1,1,1,1,88.22,37.33,6.662684,0.07,1.19,0.005293,80,38,12,46,24,Heat_Stress,36,80,Normal,10,1,1,68.91298862,3,40,Low,3,0,2
160,W004,10,2024-01-01 10:30:00,2.5,75,-5,-75,-26,6.671122,89.39,37.49,2.25,17,79,0.35,85,1,1,1,1,89.41,37.4,6.667977,0.09,-0.02,0.003145,92,38,11,50,27,Heat_Stress,14,92,Normal,10,1,1,79.5361553,3,43.6,Low,3,0,2
161,W004,11,2024-01-01 10:45:00,2.75,82,-37,-40,13,6.694187,90.15,37.46,2.71,18,81,0.4,85,1,1,1,1,89.39,37.49,6.671122,-0.03,0.76,0.023065,16,42,13,29,28,Worker_Fatigue,104,42,Normal,10,1,1,56.0178543,3,25.6,Low,3,2,2
162,W004,12,2024-01-01 11:00:00,3,90,-22,-52,1,6.69598,92.4,37.52,2.62,17,78,0.25,86,1,1,1,1,90.15,37.46,6.694187,0.06,2.25,0.001793,81,43,13,50,32,Heat_Stress,34,81,Normal,11,1,1,56.47123161,3,43.8,Low,3,0,2
163,W004,13,2024-01-01 11:15:00,3.25,97,-56,-43,17,6.695173,91.44,37.58,2.95,17,79,0.36,87,1,1,1,1,92.4,37.52,6.69598,0.06,-0.96,-0.000807,68,47,14,48,33,Heat_Stress,57,68,Normal,11,1,1,72.62231062,3,42,Low,3,0,2
164,W004,14,2024-01-01 11:30:00,3.5,105,-70,-63,-45,6.678985,92.59,37.67,2.52,17,78,0.33,85,1,1,1,1,91.44,37.58,6.695173,0.09,1.15,-0.016188,99,45,12,57,36,Heat_Stress,1,99,Normal,11,1,1,104.3743263,3,49.8,Low,3,0,2
165,W004,15,2024-01-01 11:45:00,3.75,112,-78,-41,22,6.709128,95.64,37.73,2.96,16,78,0.37,86,1,1,1,1,92.59,37.67,6.678985,0.06,3.05,0.030143,89,49,14,56,38,Heat_Stress,19,89,Normal,11,1,1,90.82400564,3,49.2,Low,3,0,2
166,W004,16,2024-01-01 12:00:00,4,120,-58,-79,-3,6.714627,97.57,37.76,3.04,15,77,0.21,85,1,1,1,1,95.64,37.73,6.709128,0.03,1.93,0.005499,56,51,15,48,40,Heat_Stress,79,56,Normal,12,1,1,98.05100713,3,42,Low,3,0,2
167,W004,17,2024-01-01 12:15:00,4.25,127,-8,-78,8,6.703497,98.54,37.77,2.98,18,78,0.29,85,1,1,1,1,97.57,37.76,6.714627,0.01,0.97,-0.01113,33,51,14,41,42,Worker_Fatigue,88,51,Normal,12,1,1,78.81624198,3,36.2,Low,3,2,2
168,W004,18,2024-01-01 12:30:00,4.5,135,-41,-67,-6,6.723509,97.34,37.89,3.49,16,76,0.37,88,1,1,1,1,98.54,37.77,6.703497,0.12,-1.2,0.020012,99,57,17,64,45,Heat_Stress,1,99,Normal,12,1,1,78.77816956,3,56.4,Low,3,0,2
169,W004,19,2024-01-01 12:45:00,4.75,142,-58,-59,-39,6.724659,100.3,38,3.52,17,78,0.46,86,1,1,1,1,97.34,37.89,6.723509,0.11,2.96,0.00115,99,58,17,65,46,Heat_Stress,1,99,Normal,12,1,1,91.46584062,3,57,Low,3,0,2
170,W004,20,2024-01-01 13:00:00,5,150,-73,-69,-13,6.736276,100.25,37.91,3.43,16,77,0.53,85,1,1,1,1,100.3,38,6.724659,-0.09,-0.05,0.011617,22,58,17,43,49,Worker_Fatigue,75,58,Normal,13,1,1,101.2867217,3,37.8,Low,3,2,2
171,W004,21,2024-01-01 13:15:00,5.25,157,-61,-59,-49,6.733741,100.82,38.06,3.33,15,71,0.15,86,1,1,1,1,100.25,37.91,6.736276,0.15,0.57,-0.002535,99,62,16,68,53,Heat_Stress,1,99,Normal,13,1,1,97.99489783,3,59.6,Low,3,0,2
172,W004,22,2024-01-01 13:30:00,5.5,165,-24,-75,-15,6.748835,104.46,38.09,4.09,15,74,0.22,85,1,1,1,1,100.82,38.06,6.733741,0.03,3.64,0.015094,73,67,20,63,54,Heat_Stress,48,73,Normal,13,1,1,80.1623353,3,55.4,Low,3,0,2
173,W004,23,2024-01-01 13:45:00,5.75,172,1,-51,10,6.769046,105.55,38.17,3.6,14,72,0.12,83,1,1,1,1,104.46,38.09,6.748835,0.08,1.09,0.020211,99,65,18,70,57,Heat_Stress,1,99,Normal,13,1,1,51.98076567,3,61.8,Low,3,0,2
174,W004,24,2024-01-01 14:00:00,6,180,-46,-75,-8,6.757482,106.42,38.2,3.56,15,71,0.22,82,1,1,1,1,105.55,38.17,6.769046,0.03,0.87,-0.011564,59,66,17,59,59,Worker_Fatigue,61,66,Normal,14,1,1,88.34591105,3,52,Low,3,2,2
175,W004,25,2024-01-01 14:15:00,6.25,187,-26,-79,13,6.759785,105.94,38.28,3.62,15,72,0.19,86,1,1,1,1,106.42,38.2,6.757482,0.08,-0.48,0.002303,99,67,18,72,61,Heat_Stress,1,99,Normal,14,1,1,84.17838202,3,63.4,Low,3,0,2
176,W004,26,2024-01-01 14:30:00,6.5,195,-36,-56,-45,6.771849,107.55,38.37,3.95,14,72,0.13,84,1,1,1,1,105.94,38.28,6.759785,0.09,1.61,0.012064,99,71,19,74,63,Heat_Stress,1,99,Normal,14,1,1,80.3554603,3,65.2,Low,3,0,2
177,W004,27,2024-01-01 14:45:00,6.75,202,-19,-68,-19,6.786691,108.58,38.35,3.72,15,73,0.24,86,1,1,1,1,107.55,38.37,6.771849,-0.02,1.03,0.014842,36,70,18,55,65,Worker_Fatigue,54,70,Normal,14,1,1,73.11634564,3,48.8,Low,3,2,2
